data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc
     dota3,       NN_hiddenunit5, one_way_one_team_dense,1.5,0.67767,0.73986,0.62116,0.66531
     dota3,      NN_hiddenunit10, one_way_one_team_dense,2.5,0.71787,0.78855,0.60062,0.63659
     dota3,      NN_hiddenunit20, one_way_one_team_dense,3.4,0.77184,0.85345,0.59259,0.62636
     dota3,      NN_hiddenunit30, one_way_one_team_dense,4,0.82164,0.902,0.57584,0.60952
     dota3,       NN_hiddenunit4, one_way_one_team_dense,1.1,0.66887,0.72964,0.62919,0.67661
     dota3,       NN_hiddenunit3, one_way_one_team_dense,0.9,0.66009,0.718,0.62451,0.67109
     dota3,       NN_hiddenunit2, one_way_one_team_dense,0.6,0.65285,0.7083,0.63131,0.67349
     dota3,       NN_hiddenunit1, one_way_one_team_dense,1.4,0.64841,0.69478,0.62848,0.67414
     dota3,            lR_C1e-05, one_way_one_team_dense,0,0.64322,0.69716,0.62354,0.67966
     dota3,           lR_C0.0001, one_way_one_team_dense,0,0.64338,0.69727,0.62363,0.67978
     dota3,            lR_C0.001, one_way_one_team_dense,0,0.644,0.69828,0.62469,0.68058
     dota3,             lR_C0.01, one_way_one_team_dense,0,0.64685,0.70066,0.6291,0.68269
     dota3,              lR_C0.1, one_way_one_team_dense,0,0.64781,0.70131,0.63245,0.68319
     dota3,              lR_C1.0, one_way_one_team_dense,0,0.64787,0.70139,0.63272,0.68313
     dota3,             lR_C10.0, one_way_one_team_dense,0,0.64784,0.70141,0.63254,0.68295
     dota3,            lR_C100.0, one_way_one_team_dense,0,0.64785,0.70141,0.63254,0.6829
     dota3,           lR_C1000.0, one_way_one_team_dense,0,0.64785,0.70141,0.63254,0.6829
     dota3,          lR_C10000.0, one_way_one_team_dense,0,0.64785,0.70141,0.63254,0.6829
